Séquentiel,"Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?"
6,"Nul part, car je trouve souvent les informations que je veux sur Vikidia"
17,Je n’y vais pas pour lire des articles
33,WP
43,je ne ve pas le dire
53,chez savant  Cogitus
56,nulle part
58,Khan academy
59,7
63,"ça ne m'est jamais arrivé,ce site super a toujours les réponses à mes questions."
65,Je ne sais pas
69,divers sites
71,A l'interieur
85,Je viens d'arriver sur la page
118,Revues spécialisées
120,wiki
127,Je trouve toujours satisfaction.
131,Web
132,Je fouine un peu partout pour trouver ce que je cherche.  Je ne me contente pas d'une seule source
134,Sur mes dm (Devoir Maison)😅
139,Dans la fougère
143,"J’explore les divers propositions , pas de sites particulier"
147,qwand junior
148,W
155,Ailleurs
157,Wilnikis
169,jkdqjzeajfzjjgjore
172,v
173,sur le sites meme
175,Vers mes parents
177,Cela ne s'est jamais déroulé.
184,Wiquipédia
188,xfile
193,"je resterai ici même,je ne sais où aller."
194,Je n'ai pas de priorité
200,N'importe
203,sur wiipédia
207,Je cherche des sites qui connaissent bien le sujet que je veux approfondir !
209,Nulle part
212,Des sites spécialisés selon les sujets
234,wiki
235,Je vais sur des journaux de confiance comme Le Monde par exemple.
243,Des sites officiels de préférence
244,partout
251,Ailleurs
260,France Culture
269,T
270,Hdlhdkdhdkd
285,au hasard
293,"Demander à mes copains copines hein, leurs mots sont plus simples"
296,A mes parents
306,amazon
317,"coucou"""" OR 1=1;#"
319,Aucun site en particulier. J’en prend plusieurs pour avoir plusieurs sources d’informations.
329,gogle
332,Dans ma douche pour pleurer
337,wiki
340,m
360,Ailleurs
363,Wikidédia ou lumni
364,s
365,Sur des sites lambda
369,? ??
374,sur des sites dédiés à mon domaine de recherche
379,vikipedia
380,nul part
381,"J’ai oublié le nom, désolé"
387,siri
393,je ne sais pas
395,Je n’ai jamais eu besoin d’aller sur des pages d’aide. J’ai toujours tout trouvé.
398,je trouve tous sur  Vikidia
399,/
409,Sur les sites international sur le sujet en question (ONS ect
420,au sujet de mes recherche
428,Je demande des informations à mes proches
432,qdfvqd
435,pas là
450,wiki
457,jkfyjfjfchfgc
465,ikipiidia
477,ici
479,chez les enfants
482,n'importe où il y a les informations que je recherche
484,chez ma mère
494,je compile plusieurs sources d'information.
497,"hérodote, arte"
498,bonsoir
499,"gkr,"
501,Rien
515,sur les sources
524,dans ton cou
546,Sur le site d'après
568,Dans mon cerveau
572,Nul part
573,Chez mamie
582,Dans la salle à manger.
583,t
587,Sur le site suivant
593,chez ma grosse daronne
594,pornhub
605,Wiki
613,fortnite
614,fjkghfyudhrg
626,ailleurs
629,Sur Vikidia
631,partout
642,Web
644,N’impo où
646,n'importe ou
650,C'est la première fois que je vais sur vikidia
654,Site spécialisé sur le sujet
657,h(((
662,Gallica
663,wikepedia
664,la ou je trouve l'info désirer
670,ailleurs
677,uihho*lmjopnkoô
686,J essaye de comprendre
690,N'importe où.
691,pour le moment pas eu ce probleme
699,au début de l'article
715,JSP
732,heeeuuu...j'en trouve toujours!
734,/
742,baidu
764,0
780,knf
